@relation segment

@attribute original numeric
@attribute Sobel_filter_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Derivatives_2_2_1.0 numeric
@attribute Derivatives_3_3_1.0 numeric
@attribute Derivatives_4_4_1.0 numeric
@attribute Derivatives_5_5_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Difference_of_gaussians_2.0_1.0 numeric
@attribute Derivatives_2_2_2.0 numeric
@attribute Derivatives_3_3_2.0 numeric
@attribute Derivatives_4_4_2.0 numeric
@attribute Derivatives_5_5_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Difference_of_gaussians_4.0_1.0 numeric
@attribute Difference_of_gaussians_4.0_2.0 numeric
@attribute Derivatives_2_2_4.0 numeric
@attribute Derivatives_3_3_4.0 numeric
@attribute Derivatives_4_4_4.0 numeric
@attribute Derivatives_5_5_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Sobel_filter_8.0 numeric
@attribute Difference_of_gaussians_8.0_1.0 numeric
@attribute Difference_of_gaussians_8.0_2.0 numeric
@attribute Difference_of_gaussians_8.0_4.0 numeric
@attribute Derivatives_2_2_8.0 numeric
@attribute Derivatives_3_3_8.0 numeric
@attribute Derivatives_4_4_8.0 numeric
@attribute Derivatives_5_5_8.0 numeric
@attribute Gaussian_blur_16.0 numeric
@attribute Sobel_filter_16.0 numeric
@attribute Difference_of_gaussians_16.0_1.0 numeric
@attribute Difference_of_gaussians_16.0_2.0 numeric
@attribute Difference_of_gaussians_16.0_4.0 numeric
@attribute Difference_of_gaussians_16.0_8.0 numeric
@attribute Derivatives_2_2_16.0 numeric
@attribute Derivatives_3_3_16.0 numeric
@attribute Derivatives_4_4_16.0 numeric
@attribute Derivatives_5_5_16.0 numeric
@attribute class {vessel,nonvascular,background}

@data
58,42.426407,58.75885,40.258022,-0.493374,1.273612,-6.074168,-0.605584,61.122829,30.2875,-2.363979,-0.01988,0.03549,-0.018032,0.023599,60.996151,21.123226,-2.237301,0.126678,-0.000141,0.00052,0.000085,0.000007,55.284172,12.093575,3.474678,5.838657,5.711979,-0.000417,-0.00003,-0.000002,0,49.382999,20.552721,9.375851,11.73983,11.613152,5.901173,-0.000002,-0.000001,0,0,vessel
58,14.142136,58.016346,14.13067,-0.456943,1.67527,0.593516,15.889377,58.688068,13.944456,-0.671722,-0.043872,0.023479,-0.016923,0.017259,58.944382,13.050433,-0.928036,-0.256313,-0.003073,0.000143,0.000024,0,53.939312,9.925677,4.077034,4.748756,5.00507,-0.00069,-0.000028,-0.000002,0,48.054543,18.958927,9.961803,10.633526,10.889839,5.884769,0.000002,-0.000001,0,0,vessel
58,0,58.000004,0.548762,-0.092995,-0.845142,2.104041,-12.950521,58.050636,3.45355,-0.050632,-0.055414,0.002399,-0.010006,-0.001157,57.857075,5.886322,0.142929,0.193562,-0.005707,-0.000115,-0.000005,-0.000009,52.976101,7.633139,5.023903,5.074535,4.880974,-0.000917,-0.000026,-0.000002,0,47.022263,17.709898,10.977741,11.028374,10.834812,5.953838,0.000005,0,0,0,vessel
58,0,58,0.000097,-0.153329,-0.411697,1.131297,1.504335,58.000519,0.630838,-0.000519,-0.064723,-0.010786,-0.010339,-0.009947,57.550854,1.053014,0.449146,0.449665,-0.007649,-0.000219,-0.000009,-0.000015,52.453075,6.162089,5.546925,5.547443,5.097778,-0.001092,-0.000026,-0.000002,0,46.271572,16.822947,11.728428,11.728947,11.279282,6.181503,0.000008,0,0,0,vessel
58,0,58.000031,0.775261,-0.781117,0.007237,-2.971577,0.93339,58.110775,4.107708,-0.110744,-0.065035,-0.01207,-0.013516,-0.005256,57.905823,5.405605,0.094208,0.204952,-0.008751,-0.000185,-0.000002,-0.000015,52.379139,6.459876,5.620892,5.731636,5.526684,-0.001207,-0.000025,-0.000002,0,45.784897,16.289354,12.215134,12.325878,12.120926,6.594242,0.000011,0,0,0,vessel
58,20,58.371284,19.224701,-0.631827,0.092862,-6.988638,-0.384786,59.34959,15.62359,-0.978306,-0.044022,-0.008075,-0.002147,-0.000591,58.982914,10.863781,-0.611629,0.366676,-0.009064,-0.000074,0.000001,-0.000008,52.725189,8.124583,5.646095,6.624401,6.257725,-0.00126,-0.000024,-0.000002,0,45.541969,16.074944,12.829315,13.807621,13.440945,7.18322,0.000013,0,0,0,vessel
68,40,66.853539,37.641563,1.484427,-0.138925,13.092048,0.319394,62.889061,26.244129,3.964478,-0.006635,-0.004439,0.023289,-0.001333,60.758236,14.864168,6.095303,2.130825,-0.008735,0.000027,-0.000013,0.000004,53.446148,10.250565,13.407391,9.442913,7.312088,-0.001247,-0.000022,-0.000002,0,45.519711,16.124697,21.333828,17.36935,15.238525,7.926437,0.000016,0,0,0,vessel
68,20,67.967278,20.7425,1.399561,-0.138919,-0.692289,0.320255,66.406006,21.909492,1.561272,0.017403,-0.0019,0.035374,-0.001151,62.84029,15.289412,5.126987,3.565716,-0.007879,0.000032,-0.000049,0.000016,54.505272,12.50345,13.462006,11.900734,8.335018,-0.001169,-0.000018,-0.000001,0,45.691704,16.371161,22.275574,20.714302,17.148586,8.813568,0.000018,0,0,0,vessel
68,0,68,1.58313,-0.556573,0.093885,-5.522078,-0.410772,67.776909,9.226889,0.223091,-0.001495,-0.000106,0.012739,0.001075,64.673904,12.975815,3.326096,3.103004,-0.006517,-0.000112,-0.000102,0.000023,55.892181,14.912306,12.107819,11.884727,8.781723,-0.001029,-0.000013,-0.000001,0,46.027771,16.744453,21.972229,21.749138,18.646133,9.86441,0.00002,0,0,0,vessel
68,0,68,0.032822,-0.979111,0.04372,4.287688,0.043378,67.984123,2.548358,0.015877,-0.057662,0.000877,-0.032883,-0.001236,66.12307,12.311539,1.87693,1.861053,-0.004552,-0.000401,-0.000157,0.000019,57.62439,17.559134,10.37561,10.359734,8.49868,-0.000833,-0.000007,0,0,46.493599,17.181227,21.506401,21.490524,19.629471,11.130791,0.000022,0,0,0,vessel
